Designator,Mid X,Mid Y,Rotation,Layer
C1,239.268,-83.82,180.0,top
C2,246.022,-86.741,0.0,top
J2,207.899,-85.613,90.0,top
R1,239.268,-85.725,180.0,top
R2,235.839,-85.725,0.0,top
R3,235.839,-87.63,180.0,top
